Customer Id,Age,Gender,Occupation,Marital Status
1000020180,41,Male,Self-Employed,Married
1000020181,46,Male,Employed,Married
1000020182,46,Male,Self-Employed,Married
1000020183,36,Male,Self-Employed,Married
1000020190,35,Male,Self-Employed,Married
1000020191,51,Male,Self-Employed,Married
1000020192,49,Female,Employed,Married
1000020193,43,Male,Self-Employed,Married
1000020200,42,Male,Employed,Married
1000020201,44,Male,Employed,Married
1000020202,43,Male,Self-Employed,Married
1000020203,52,Female,Employed,Married
1000120181,33,Female,Self-Employed,Married
1000120182,28,Female,Employed,Married
1000120183,53,Male,Self-Employed,Married
1000120184,49,Female,Employed,Married
1000120191,32,Female,Employed,Married
1000120192,34,Female,Employed,Married
1000120193,34,Male,Employed,Married
1000120194,44,Female,Self-Employed,Married
1000120201,40,Female,Employed,Married
1000120202,28,Female,Employed,Married
1000120203,38,Female,Self-Employed,Married
1000120204,52,Female,Employed,Married
1000220180,25,Male,Employed,Single
1000220181,44,Male,Employed,Single
1000220183,32,Male,Employed,Single
1000220184,44,Male,Employed,Single
1000220190,30,Male,Employed,Single
1000220191,32,Male,Employed,Single
1000220192,43,Male,Employed,Single
1000220193,44,Male,Employed,Single
1000220194,26,Male,Employed,Single
1000220200,42,Male,Employed,Single
1000220201,38,Male,Employed,Single
1000220202,44,Male,Employed,Single
1000220203,32,Male,Employed,Single
1000220204,39,Male,Employed,Single
1000320181,48,Male,Self-Employed,Married
1000320182,33,Female,Self-Employed,Married
1000320183,29,Female,Employed,Married
1000320191,47,Male,Employed,Married
1000320192,29,Female,Employed,Married
1000320193,34,Female,Self-Employed,Married
1000320201,49,Male,Self-Employed,Married
1000320202,33,Female,Employed,Married
1000320203,25,Female,Employed,Married
1000420180,25,Female,Employed,Married
1000420190,29,Male,Employed,Married
1000420200,43,Male,Employed,Married
1000520180,54,Female,Employed,Single
1000520182,52,Male,Employed,Married
1000520190,49,Male,Employed,Single
1000520192,45,Female,Employed,Single
1000520200,44,Female,Employed,Single
1000520202,46,Female,Employed,Single
1000620180,40,Male,Employed,Single
1000620181,25,Male,Employed,Single
1000620182,42,Male,Employed,Single
1000620190,40,Male,Employed,Single
1000620191,38,Male,Employed,Single
1000620192,27,Male,Employed,Single
1000620200,26,Male,Employed,Single
1000620201,25,Male,Employed,Single
1000620202,30,Male,Employed,Single
1000720200,50,Female,Employed,Single
1000820180,40,Male,Self-Employed,Married
1000820181,53,Male,Employed,Married
1000820182,47,Male,Self-Employed,Married
1000820183,51,Male,Self-Employed,Married
1000820184,29,Male,Employed,Married
1000820190,35,Male,Self-Employed,Married
1000820191,36,Male,Self-Employed,Married
1000820192,45,Male,Self-Employed,Married
1000820193,43,Male,Employed,Married
1000820194,44,Female,Self-Employed,Married
1000820200,39,Male,Employed,Married
1000820201,42,Female,Self-Employed,Married
1000820202,38,Male,Self-Employed,Married
1000820203,42,Male,Self-Employed,Married
1000920180,52,Male,Self-Employed,Married
1000920190,39,Male,Employed,Married
1000920200,51,Male,Employed,Married
1001020200,51,Male,Self-Employed,Married
1001020201,54,Male,Employed,Married
1001120200,49,Male,Self-Employed,Married
1001220200,51,Male,Self-Employed,Married
1001320180,31,Female,Self-Employed,Married
1001320181,32,Female,Employed,Married
1001320190,30,Female,Self-Employed,Married
1001320191,25,Female,Employed,Married
1001320200,34,Female,Self-Employed,Married
1001320201,51,Female,Employed,Married
1001320202,49,Female,Employed,Married
1001420180,45,Female,Employed,Married
1001420190,48,Female,Employed,Married
1001420200,50,Female,Employed,Married
1001520180,39,Male,Self-Employed,Married
1001520182,54,Female,Employed,Married
1001520183,52,Male,Employed,Single
1001520184,49,Male,Employed,Married
1001520190,39,Male,Self-Employed,Married
1001520192,51,Male,Employed,Single
1001520193,50,Female,Employed,Single
1001520194,41,Male,Employed,Married
1001520200,43,Male,Self-Employed,Married
1001520202,48,Female,Employed,Single
1001520203,48,Female,Employed,Single
1001520204,45,Female,Employed,Married
1001620180,40,Male,Employed,Single
1001620181,39,Male,Employed,Single
1001620182,43,Male,Employed,Single
1001620183,42,Male,Employed,Single
1001620184,41,Male,Employed,Single
1001620190,39,Male,Employed,Single
1001620191,25,Male,Employed,Single
1001620192,31,Male,Employed,Single
1001620193,39,Male,Employed,Single
1001620194,34,Male,Employed,Single
1001620200,31,Male,Employed,Single
1001620201,26,Male,Employed,Single
1001620202,40,Male,Employed,Single
1001620203,30,Male,Employed,Single
1001620204,38,Male,Employed,Single
1001720181,25,Female,Self-Employed,Married
1001720182,26,Female,Self-Employed,Married
1001720191,34,Female,Employed,Married
1001720193,32,Female,Employed,Married
1001720201,25,Female,Employed,Married
1001720203,45,Male,Self-Employed,Single
1001820200,46,Female,Employed,Single
1001820201,45,Male,Employed,Married
1001820202,51,Female,Employed,Single
1001920180,36,Female,Employed,Single
1001920181,48,Male,Employed,Single
1001920183,52,Female,Employed,Single
1001920184,47,Female,Employed,Married
1001920190,51,Female,Employed,Single
1001920191,52,Female,Employed,Single
1001920193,49,Male,Employed,Married
1001920194,31,Female,Employed,Single
1001920200,40,Female,Employed,Married
1001920201,51,Female,Employed,Single
1001920203,48,Male,Employed,Single
1001920204,49,Female,Employed,Single
1002020200,45,Female,Employed,Married
1002020201,49,Female,Employed,Married
1002020202,51,Female,Employed,Single
1002120200,35,Male,Employed,Married
1002120201,47,Male,Employed,Married
1002220180,36,Female,Employed,Single
1002220181,28,Female,Self-Employed,Married
1002220190,37,Male,Employed,Married
1002220191,29,Female,Self-Employed,Married
1002220200,52,Male,Employed,Married
1002220201,48,Female,Employed,Married
1002320180,37,Male,Employed,Married
1002320181,45,Male,Employed,Married
1002320190,44,Male,Self-Employed,Married
1002320191,53,Male,Employed,Single
1002320200,36,Male,Employed,Married
1002320201,53,Female,Employed,Married
1002420200,35,Male,Employed,Married
1002520181,40,Male,Employed,Single
1002520182,40,Male,Self-Employed,Married
1002520191,52,Female,Employed,Married
1002520192,52,Male,Employed,Married
1002520200,53,Male,Employed,Married
1002520201,47,Male,Self-Employed,Married
1002520202,44,Male,Employed,Married
1002620180,33,Male,Employed,Married
1002620190,27,Male,Employed,Married
1002620200,26,Male,Employed,Single
1002620201,46,Female,Employed,Single
1002720180,53,Female,Employed,Single
1002720190,52,Female,Employed,Married
1002720200,48,Female,Employed,Married
1002820180,36,Female,Employed,Single
1002820181,28,Female,Employed,Married
1002820190,37,Male,Employed,Married
1002820191,30,Male,Employed,Single
1002820200,26,Female,Employed,Married
1002820201,28,Female,Employed,Married
1002920180,28,Female,Employed,Single
1002920181,28,Female,Employed,Single
1002920182,32,Female,Self-Employed,Married
1002920183,38,Female,Employed,Single
1002920190,28,Female,Employed,Single
1002920191,31,Female,Employed,Single
1002920192,34,Female,Employed,Single
1002920193,29,Female,Employed,Single
1002920200,25,Female,Employed,Married
1002920201,47,Female,Employed,Married
1002920202,33,Female,Employed,Single
1002920203,43,Female,Employed,Single
1003020200,27,Male,Employed,Single
1003120181,25,Female,Self-Employed,Married
1003120182,34,Male,Employed,Single
1003120183,49,Male,Employed,Married
1003120191,30,Female,Employed,Married
1003120192,44,Male,Employed,Married
1003120193,31,Male,Employed,Single
1003120201,46,Female,Employed,Single
1003120202,31,Female,Employed,Married
1003120203,45,Male,Employed,Married
1003320181,34,Female,Self-Employed,Married
1003320190,37,Male,Employed,Single
1003320191,33,Female,Self-Employed,Married
1003320200,28,Male,Self-Employed,Single
1003320201,33,Male,Self-Employed,Single
1003420180,27,Female,Employed,Single
1003420181,50,Male,Employed,Married
1003420182,53,Male,Employed,Married
1003420190,25,Male,Self-Employed,Single
1003420191,38,Female,Employed,Married
1003420192,37,Male,Self-Employed,Married
1003420200,31,Female,Employed,Married
1003420201,42,Female,Employed,Married
1003420202,46,Male,Employed,Married
1003520180,48,Female,Employed,Married
1003520181,51,Female,Employed,Married
1003520190,54,Male,Employed,Single
1003520191,45,Female,Employed,Married
1003520200,27,Female,Employed,Married
1003520201,46,Female,Employed,Married
1003620180,45,Female,Employed,Single
1003620181,54,Male,Employed,Married
1003620182,49,Female,Employed,Married
1003620183,53,Female,Employed,Married
1003620190,45,Female,Employed,Single
1003620191,27,Female,Employed,Married
1003620192,46,Male,Employed,Single
1003620193,52,Female,Employed,Married
1003620200,31,Female,Self-Employed,Married
1003620201,50,Female,Employed,Single
1003620202,47,Male,Employed,Married
1003620203,49,Female,Employed,Married
1003720180,26,Male,Employed,Married
1003720190,34,Female,Self-Employed,Married
1003720200,36,Female,Employed,Single
1003820180,29,Female,Self-Employed,Married
1003820190,27,Male,Employed,Married
1003820200,26,Male,Self-Employed,Single
1003920180,48,Male,Employed,Married
1003920190,48,Female,Employed,Single
1003920200,39,Male,Employed,Single
1004020181,30,Male,Employed,Single
1004020184,53,Male,Employed,Single
1004020185,26,Male,Self-Employed,Single
1004020186,34,Male,Self-Employed,Single
1004020191,29,Male,Self-Employed,Single
1004020192,33,Female,Employed,Married
1004020195,28,Male,Self-Employed,Single
1004020196,28,Female,Employed,Single
1004020201,40,Male,Self-Employed,Married
1004020202,25,Female,Employed,Married
1004020203,35,Female,Employed,Married
1004020205,36,Female,Self-Employed,Married
1004020206,36,Female,Self-Employed,Married
1004120180,41,Male,Employed,Married
1004120181,48,Female,Employed,Single
1004120182,36,Female,Employed,Single
1004120184,39,Male,Employed,Married
1004120190,53,Male,Employed,Married
1004120191,31,Female,Employed,Married
1004120192,46,Female,Employed,Married
1004120194,33,Female,Employed,Married
1004120200,40,Male,Self-Employed,Married
1004120201,26,Female,Employed,Single
1004120202,25,Female,Employed,Married
1004120204,47,Female,Employed,Single
1004220180,30,Female,Employed,Single
1004220181,52,Male,Employed,Married
1004220182,29,Female,Self-Employed,Married
1004220183,28,Female,Employed,Married
1004220190,46,Female,Employed,Married
1004220191,42,Male,Self-Employed,Married
1004220192,34,Female,Employed,Married
1004220193,30,Male,Employed,Single
1004220200,54,Female,Employed,Single
1004220201,52,Male,Employed,Married
1004220202,32,Female,Self-Employed,Married
1004220203,42,Female,Employed,Single
1004320200,47,Male,Self-Employed,Single
1004420180,40,Male,Employed,Single
1004420181,48,Female,Self-Employed,Married
1004420190,26,Female,Employed,Single
1004420191,54,Female,Employed,Single
1004420200,52,Male,Employed,Married
1004420202,54,Female,Employed,Single
1004520200,36,Male,Self-Employed,Married
1004620200,53,Male,Self-Employed,Single
1004720180,26,Male,Employed,Single
1004720181,27,Female,Employed,Single
1004720182,43,Female,Employed,Single
1004720183,51,Female,Employed,Single
1004720184,29,Male,Employed,Single
1004720190,44,Male,Employed,Single
1004720191,30,Male,Employed,Single
1004720192,39,Male,Employed,Single
1004720193,34,Female,Employed,Single
1004720194,32,Female,Employed,Single
1004720200,35,Male,Employed,Single
1004720201,40,Male,Employed,Single
1004720202,52,Female,Employed,Married
1004720203,37,Male,Employed,Single
1004720204,27,Male,Employed,Single
1004820180,43,Female,Employed,Married
1004820181,52,Female,Employed,Married
1004820182,49,Female,Employed,Married
1004820190,37,Female,Employed,Married
1004820191,45,Female,Employed,Married
1004820192,50,Female,Employed,Single
1004820200,42,Male,Self-Employed,Married
1004820201,48,Male,Employed,Married
1004820202,28,Female,Employed,Married
1004920180,32,Female,Employed,Married
1004920182,52,Male,Employed,Married
1004920190,25,Female,Employed,Married
1004920192,32,Female,Employed,Married
1004920200,47,Female,Employed,Married
1004920202,53,Male,Employed,Married
1005020180,54,Male,Self-Employed,Married
1005020181,40,Male,Employed,Married
1005020182,33,Male,Employed,Single
1005020183,48,Female,Employed,Single
1005020190,40,Male,Employed,Married
1005020191,38,Female,Employed,Married
1005020192,45,Male,Self-Employed,Married
1005020193,54,Female,Employed,Single
1005020200,26,Female,Employed,Married
1005020201,39,Male,Self-Employed,Married
1005020202,48,Male,Employed,Married
1005020203,49,Male,Employed,Married
1005120180,48,Female,Employed,Married
1005120190,38,Female,Employed,Married
1005120200,42,Male,Employed,Married
1005220180,39,Male,Employed,Single
1005220181,31,Male,Employed,Single
1005220182,36,Male,Employed,Single
1005220190,40,Male,Employed,Single
1005220191,36,Male,Employed,Single
1005220192,38,Male,Employed,Single
1005220200,34,Male,Employed,Single
1005220201,37,Male,Employed,Single
1005220202,39,Male,Employed,Single
1005320180,41,Male,Employed,Single
1005320190,31,Male,Employed,Single
1005320200,36,Male,Employed,Single
1005420180,29,Female,Employed,Married
1005420181,26,Female,Employed,Married
